id,fecha,producto,categoria,cantidad,precio_unitario,region
31,2024-04-03,Laptop,Computadores,2,1280.00,Bogota
32,2024-04-07,Monitor,Pantallas,3,370.00,Cali
33,2024-04-10,RAM,Componentes,10,60.00,Medellin
34,2024-04-14,Smartphone,Moviles,6,720.00,Bogota
35,2024-04-18,Teclado,Perifericos,8,50.00,Barranquilla
36,2024-04-22,Disco SSD,Almacenamiento,5,145.00,Bogota
37,2024-04-26,Auriculares,Audio,7,88.00,Cali
38,2024-05-02,Mouse,Perifericos,12,28.00,Medellin
39,2024-05-06,Webcam,Perifericos,3,102.00,Bogota
40,2024-05-10,Tablet,Moviles,4,460.00,Barranquilla
41,2024-05-14,Laptop,Computadores,1,1400.00,Bogota
42,2024-05-18,Monitor,Pantallas,2,390.00,Medellin
43,2024-05-22,Smartphone,Moviles,5,750.00,Cali
44,2024-05-26,RAM,Componentes,14,62.00,Bogota
45,2024-05-30,Disco SSD,Almacenamiento,6,150.00,Barranquilla
46,2024-06-04,Teclado,Perifericos,9,52.00,Bogota
47,2024-06-10,Auriculares,Audio,5,90.00,Medellin
48,2024-06-15,Webcam,Perifericos,4,105.00,Cali
49,2024-06-22,Mouse,Perifericos,11,29.00,Bogota
50,2024-06-30,Laptop,Computadores,3,1350.00,Bogota
